Condo Name,Price (RM),Address,Room Type,Bed Type,Bathroom Type,Parking Rental (RM)
The Birch,1000,"35, Jalan Kasipillay, Jalan Ipoh, 51200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Master,Queen,Private,100
The Birch,750,"35, Jalan Kasipillay, Jalan Ipoh, 51200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Medium,Queen,Shared,100
The Birch,500,"35, Jalan Kasipillay, Jalan Ipoh, 51200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Single,Single,Shared,100
The Birch,600,"35, Jalan Kasipillay, Jalan Ipoh, 51200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Balcony,Single,Shared,100
M Vertica,1100,"Residensi M Vertica, 555, Jln Cheras, Taman Pertama, 56000 Kuala Lumpur, Federal Territory of Kuala Lumpur",Master,Queen,Private,120
M Vertica,800,"Residensi M Vertica, 555, Jln Cheras, Taman Pertama, 56000 Kuala Lumpur, Federal Territory of Kuala Lumpur",Medium With Big Window,Queen,Shared,120
M Vertica,800,"Residensi M Vertica, 555, Jln Cheras, Taman Pertama, 56000 Kuala Lumpur, Federal Territory of Kuala Lumpur",Medium,Queen,Shared,120
M Vertica,700,"Residensi M Vertica, 555, Jln Cheras, Taman Pertama, 56000 Kuala Lumpur, Federal Territory of Kuala Lumpur",Single,Single,Shared,120
PV 9 Residence,1100,"Kampung Wira Jaya, 53100 Kuala Lumpur, Federal Territory of Kuala Lumpur",Master,Queen,Private,
PV 9 Residence,850,"Kampung Wira Jaya, 53100 Kuala Lumpur, Federal Territory of Kuala Lumpur",Medium,Queen,Shared,
Razak City Residences,850,"2, Jln Sungai Besi, Sungai Besi, 57100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Master,Queen,Private,100
Razak City Residences,750,"2, Jln Sungai Besi, Sungai Besi, 57100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Balcony,Queen,Shared,100
Razak City Residences,650,"2, Jln Sungai Besi, Sungai Besi, 57100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Medium,Queen,Shared,100
Neu Suites,1300,"Kampung Berembang, 55000 Kuala Lumpur, Federal Territory of Kuala Lumpur",Studio,Queen,Private,100
Neu Suites,1100,"Kampung Berembang, 55000 Kuala Lumpur, Federal Territory of Kuala Lumpur",Single,Single,Private,100
Arte Cheras,1100,"Jln Cheras, Taman Midah, 56000 Cheras, Wilayah Persekutuan Kuala Lumpur",Master,Queen,Private,150
Arte Cheras,800,"Jln Cheras, Taman Midah, 56000 Cheras, Wilayah Persekutuan Kuala Lumpur",Partitioned,Queen,Shared,150
Arte Cheras,800,"Jln Cheras, Taman Midah, 56000 Cheras, Wilayah Persekutuan Kuala Lumpur",Medium,Queen,Shared,150
Arte Cheras,700,"Jln Cheras, Taman Midah, 56000 Cheras, Wilayah Persekutuan Kuala Lumpur",Partitioned,Single,Shared,150
Arte Cheras,700,"Jln Cheras, Taman Midah, 56000 Cheras, Wilayah Persekutuan Kuala Lumpur",Single,Single,Shared,150
Arte Cheras,500,"Jln Cheras, Taman Midah, 56000 Cheras, Wilayah Persekutuan Kuala Lumpur",Mini single,Single,Shared,150
Sunway Serene,1200,"Jalan SS 8/2, Ss 7, 47300 Petaling Jaya, Selangor",Master,Queen,Private,150
Sunway Serene,800,"Jalan SS 8/2, Ss 7, 47300 Petaling Jaya, Selangor",Partitioned,Queen,Shared,150
Sunway Serene,800,"Jalan SS 8/2, Ss 7, 47300 Petaling Jaya, Selangor",Medium,Queen,Shared,150
Sunway Serene,850,"Jalan SS 8/2, Ss 7, 47300 Petaling Jaya, Selangor",Medium,Queen,Shared,150
Trion KL,1300,"Jalan Dua, Chan Sow Lin, 55200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Studio,Queen,Private,150
Trion KL,1100,"Jalan Dua, Chan Sow Lin, 55200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Master,Queen,Private,150
Trion KL,900,"Jalan Dua, Chan Sow Lin, 55200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Medium,Queen,Shared,150
Trion KL,900,"Jalan Dua, Chan Sow Lin, 55200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Balcony,Queen,Shared,150
Trion KL,650,"Jalan Dua, Chan Sow Lin, 55200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Single,Single,Shared,150
Majestic Maxim,650,"45, Jalan 9, Taman Bukit Cheras, 56000 Cheras, Wilayah Persekutuan Kuala Lumpur",Single,Single,Shared,100
Majestic Maxim,950,"45, Jalan 9, Taman Bukit Cheras, 56000 Cheras, Wilayah Persekutuan Kuala Lumpur",Master,Queen,Private,100
Majestic Maxim,700,"45, Jalan 9, Taman Bukit Cheras, 56000 Cheras, Wilayah Persekutuan Kuala Lumpur",Medium,Queen,Shared,100
Majestic Maxim,700,"45, Jalan 9, Taman Bukit Cheras, 56000 Cheras, Wilayah Persekutuan Kuala Lumpur",Balcony,Single,Shared,100
